name,playcount,listeners,mbid,url,streamable,tags
Travis,41504762,1749839,960607c6-b0e3-483d-be67-8232eb50eb95,https://www.last.fm/music/Travis,0,"britpop, indie, rock"
Jamiroquai,56283502,1749802,f4857fb9-e255-4dc6-bd01-e4ca7cc68544,https://www.last.fm/music/Jamiroquai,0,"funk, acid jazz, electronic"
Gnarls Barkley,29682239,1746620,a47c3aa2-7d87-475c-a2c7-1e2047dafb09,https://www.last.fm/music/Gnarls+Barkley,0,"funk, soul, Hip-Hop"
Wolfgang Amadeus Mozart,48454985,1734229,ee3ec18b-2cc8-4541-801b-26d55b17bbde,https://www.last.fm/music/Wolfgang+Amadeus+Mozart,0,"Classical, instrumental, composers"
José González,45203958,1733489,cd8c5019-5d75-4d5c-bc28-e1e26a7dd5c8,https://www.last.fm/music/Jos%C3%A9+Gonz%C3%A1lez,0,"acoustic, singer-songwriter, indie"
Jeff Buckley,40913338,1731109,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,https://www.last.fm/music/Jeff+Buckley,0,"singer-songwriter, rock, alternative"
Cat Power,67366516,1730731,05755bf1-380c-487f-983f-d1a02401fa28,https://www.last.fm/music/Cat+Power,0,"indie, female vocalists, singer-songwriter"
Santana,29756877,1729123,f7fda030-0ba1-42e9-a385-3deebc939bc9,https://www.last.fm/music/Santana,0,"rock, classic rock, latin"
Editors,57375008,1727296,0efe858c-89e5-4e47-906a-356fa953fd6e,https://www.last.fm/music/Editors,0,"seen live, indie, indie rock"
Cake,45797705,1726405,fa7b9055-3703-473a-8a09-adf2fe031a24,https://www.last.fm/music/Cake,0,"alternative, rock, indie"
James Brown,25134848,1718967,84783313-2a3f-4f17-ab9a-425a5d527879,https://www.last.fm/music/James+Brown,0,"funk, soul, rhythm and blues"
Seether,46907989,1715230,fbcd7b29-455f-49e6-9c4f-8249d20a055e,https://www.last.fm/music/Seether,0,"rock, alternative rock, hard rock"
The Jackson 5,17419303,1714357,e5257dc5-1edd-4fca-b7e6-1158e00522c8,https://www.last.fm/music/The+Jackson+5,0,"soul, motown, pop"
Johann Sebastian Bach,61567402,1703001,24f1766e-9635-4d58-a4d4-9413f9f98a4c,https://www.last.fm/music/Johann+Sebastian+Bach,0,"Classical, baroque, instrumental"
Stereophonics,38931359,1692938,0bfba3d3-6a04-4779-bb0a-df07df5b0558,https://www.last.fm/music/Stereophonics,0,"rock, britpop, indie"
Ice Cube,24453776,1692605,1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2,https://www.last.fm/music/Ice+Cube,0,"rap, Hip-Hop, Gangsta Rap"
Jefferson Airplane,30737927,1691711,39c2a93d-9afa-4a22-9bba-c087ab056e1c,https://www.last.fm/music/Jefferson+Airplane,0,"Psychedelic Rock, classic rock, psychedelic"
Nat King Cole,21902924,1687701,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,https://www.last.fm/music/Nat+King+Cole,0,"jazz, swing, blues"
